VOTER,SINGER,SCORE,,,,,,,,
Austria,Cyprus,1,1,,,,austria,cyprus,1,"""austria"": {""cyprus"":0.8,},"
Austria,Denmark,3,3,,,,austria,denmark,3,"""austria"": {""denmark"":2.7,},"
Austria,Estonia,2,2,,,,austria,estonia,2,"""austria"": {""estonia"":2.2,},"
Austria,F.Y.R. Macedonia,0,0,,,,austria,f.y.r. macedonia,0,"""austria"": {""f.y.r. macedonia"":0.2,},"
Austria,Finland,1,1,,,,austria,finland,1,"""austria"": {""finland"":0.6,},"
Austria,France,1,1,,,,austria,france,1,"""austria"": {""france"":0.9,},"
Austria,Georgia,0,0,,,,austria,georgia,0,"""austria"": {""georgia"":0,},"
Austria,Germany,5,5,,,,austria,germany,5,"""austria"": {""germany"":4.9,},"
Austria,Greece,2,2,,,,austria,greece,2,"""austria"": {""greece"":1.5,},"
Austria,Hungary,1,1,,,,austria,hungary,1,"""austria"": {""hungary"":1.4,},"
Austria,Iceland,1,2,,,,austria,iceland,2,"""austria"": {""iceland"":1.5,},"
Austria,Ireland,2,2,,,,austria,ireland,2,"""austria"": {""ireland"":2.3,},"
Austria,Israel,1,1,,,,austria,israel,1,"""austria"": {""israel"":1.3,},"
Austria,Italy,3,3,,,,austria,italy,3,"""austria"": {""italy"":3.4,},"
Austria,Latvia,4,4,,,,austria,latvia,4,"""austria"": {""latvia"":3.6,},"
Austria,Lithuania,0,0,,,,austria,lithuania,0,"""austria"": {""lithuania"":0,},"
Austria,Malta,2,2,,,,austria,malta,2,"""austria"": {""malta"":2,},"
Austria,Moldova,2,2,,,,austria,moldova,2,"""austria"": {""moldova"":2,},"
Austria,Montenegro,0,0,,,,austria,montenegro,0,"""austria"": {""montenegro"":0,},"
Austria,Norway,1,1,,,,austria,norway,1,"""austria"": {""norway"":1,},"
Austria,Poland,3,3,,,,austria,poland,3,"""austria"": {""poland"":3.1,},"
Austria,Portugal,0,0,,,,austria,portugal,0,"""austria"": {""portugal"":0.2,},"
Austria,Romania,3,3,,,,austria,romania,3,"""austria"": {""romania"":2.8,},"
Austria,Russia,2,2,,,,austria,russia,2,"""austria"": {""russia"":2.1,},"
Austria,San Marino,0,0,,,,austria,san marino,0,"""austria"": {""san marino"":0,},"
Austria,Serbia,11,11,,,,austria,serbia,11,"""austria"": {""serbia"":10.6,},"
Austria,Slovakia,0,0,,,,austria,slovakia,0,"""austria"": {""slovakia"":0,},"
Austria,Slovenia,1,1,,,,austria,slovenia,1,"""austria"": {""slovenia"":0.9,},"
Austria,Spain,0,0,,,,austria,spain,0,"""austria"": {""spain"":0.4,},"
Austria,Sweden,4,4,,,,austria,sweden,4,"""austria"": {""sweden"":3.6,},"
Austria,Switzerland,1,1,,,,austria,switzerland,1,"""austria"": {""switzerland"":1.3,},"
